,height,geometry
12,34.88,"POLYGON ((370268.9083000002 3284852.975400001, 370269.3673 3284858.3367, 370275.9874 3284857.812799999, 370275.54 3284852.451099999, 370268.9083000002 3284852.975400001))"
13,24.6,"POLYGON ((370275.54 3284852.451099999, 370275.8441000003 3284856.095699999, 370281.2540999996 3284855.668199999, 370280.8629999999 3284852.030300001, 370275.54 3284852.451099999))"
14,29.57,"POLYGON ((370288.4062999999 3284851.433900001, 370280.8629999999 3284852.030300001, 370281.2540999996 3284855.668199999, 370286.625 3284855.2436, 370286.7845999999 3284856.605699999, 370289.0379999997 3284856.4276, 370288.4062999999 3284851.433900001))"
15,28.52,"POLYGON ((370295.1604000004 3284850.899900001, 370288.4062999999 3284851.433900001, 370289.1366999997 3284857.2084, 370294.7401999999 3284856.6908, 370295.1604000004 3284850.899900001))"
16,23.77,"POLYGON ((370291.9351000004 3284881.3235, 370292.1420999998 3284877.453, 370288.2426000005 3284877.313200001, 370288.0212000003 3284881.1635, 370291.9351000004 3284881.3235))"
17,32.41,"POLYGON ((370288.3898999998 3284874.7522, 370288.7763999999 3284868.029999999, 370282.1986999996 3284867.9968, 370281.8700000001 3284874.2457, 370281.8581999997 3284874.469599999, 370288.3898999998 3284874.7522))"
18,25.04,"POLYGON ((370253.6763000004 3284903.289000001, 370249.2977999998 3284903.432700001, 370249.3485000003 3284905.4825, 370253.7396 3284905.318, 370253.6763000004 3284903.289000001))"
19,30.46,"POLYGON ((370249.4907999998 3284911.2371, 370249.3957000002 3284907.3903, 370244.8657999998 3284907.474400001, 370245.0257999999 3284910.830800001, 370246.8476999998 3284910.7853, 370246.8656000001 3284911.358100001, 370249.4907999998 3284911.2371))"
20,30.46,"POLYGON ((370249.4907999998 3284911.2371, 370252.1160000004 3284911.1161, 370252.1015999997 3284910.654300001, 370253.9046 3284910.609300001, 370253.7396 3284905.318, 370249.3485000003 3284905.4825, 370249.4907999998 3284911.2371))"
21,22.2,"POLYGON ((370312.5151000004 3284831.4585, 370304.3444999997 3284832.150900001, 370305.1086999997 3284840.6798, 370313.3646999998 3284840.1076, 370312.5151000004 3284831.4585))"
22,30.98,"POLYGON ((370305.1086999997 3284840.6798, 370305.4411000004 3284844.389, 370313.7166999998 3284843.691500001, 370313.3646999998 3284840.1076, 370305.1086999997 3284840.6798))"
23,26.92,"POLYGON ((370393.1851000004 3284753.601, 370393.2944999998 3284751.2139, 370388.8799999999 3284750.897299999, 370388.7719999999 3284753.3006, 370393.1851000004 3284753.601))"
24,34.79,"POLYGON ((370393.6747000003 3284742.919500001, 370389.2476000004 3284742.719599999, 370388.8799999999 3284750.897299999, 370393.2944999998 3284751.2139, 370393.6747000003 3284742.919500001))"
25,25.2,"POLYGON ((370396.5839 3284749.2919, 370397.2949999999 3284736.507999999, 370393.9771999996 3284736.3211, 370393.6747000003 3284742.919500001, 370393.3905999996 3284749.116800001, 370396.5839 3284749.2919))"
26,37.25,"POLYGON ((370400.9596999995 3284741.931, 370401.2586000003 3284736.7313, 370397.2949999999 3284736.507999999, 370396.8120999997 3284745.189200001, 370400.7597000003 3284745.4088, 370400.9596999995 3284741.931))"
27,34.44,"POLYGON ((370396.4873000002 3284751.029200001, 370400.4241000004 3284751.245100001, 370400.7597000003 3284745.4088, 370396.8120999997 3284745.189200001, 370396.5839 3284749.2919, 370396.4873000002 3284751.029200001))"
28,37.87,"POLYGON ((370419.8104999997 3284752.3081, 370420.2116 3284746.2051, 370416.3322000001 3284746.1141, 370416.0071999999 3284752.0995, 370419.8104999997 3284752.3081))"
29,39.32,"POLYGON ((370416.8570999997 3284736.4441, 370416.5169000002 3284742.711200001, 370416.3322000001 3284746.1141, 370420.2116 3284746.2051, 370419.8104999997 3284752.3081, 370423.8004000001 3284752.526900001, 370423.4751000004 3284757.6381, 370433.5232999995 3284758.2776, 370433.5498000002 3284757.7107, 370434.5756999999 3284757.769400001, 370435.1629999997 3284746.934699999, 370434.273 3284742.1712, 370426.9623999996 3284737.568600001, 370424.9452 3284736.977399999, 370424.9369999999 3284736.8038, 370416.8570999997 3284736.4441))"
30,36.04,"POLYGON ((370400.4241000004 3284751.245100001, 370400.1328999996 3284756.5562, 370404.0856999997 3284756.7729, 370404.3768999996 3284751.4618, 370400.4241000004 3284751.245100001))"
31,24.0,"POLYGON ((370404.0921 3284756.6559, 370408.0593999997 3284756.926100001, 370408.4034000002 3284751.682600001, 370404.3768999996 3284751.4618, 370404.0921 3284756.6559))"
32,34.42,"POLYGON ((370281.6278999997 3284859.145300001, 370276.1346000005 3284859.5759, 370276.3710000003 3284862.4088, 370281.9249 3284861.9081, 370281.6278999997 3284859.145300001))"
33,24.1,"POLYGON ((370390.8279999997 3284755.929300001, 370388.6588000003 3284755.820800001, 370388.4982000003 3284759.394400001, 370390.7484999998 3284759.509500001, 370390.8279999997 3284755.929300001))"
34,29.94,"POLYGON ((370281.9249 3284861.9081, 370284.0077 3284861.7203, 370289.6695999997 3284861.4213, 370289.0379999997 3284856.4276, 370286.7845999999 3284856.605699999, 370286.625 3284855.2436, 370281.2540999996 3284855.668199999, 370281.9249 3284861.9081))"
35,23.33,"POLYGON ((370119.4726999998 3284993.6844, 370115.4327999996 3284994.692500001, 370116.0548 3284997.053300001, 370120.0313999997 3284996.0491, 370119.4726999998 3284993.6844))"
36,37.0,"POLYGON ((370118.5218000002 3285003.836100001, 370120.6116000004 3285012.6666, 370122.1879000003 3285012.306399999, 370122.6721000001 3285014.2224, 370121.0694000004 3285014.601, 370121.6804 3285017.182600001, 370124.8469000002 3285016.432600001, 370121.6815999998 3285003.034399999, 370118.5218000002 3285003.836100001))"
37,28.76,"POLYGON ((370223.5077 3285055.3311, 370218.6821999997 3285048.2225, 370215.8541999999 3285050.124399999, 370216.7472000001 3285051.4399, 370213.4894000003 3285053.6513, 370212.5869000005 3285052.321699999, 370209.6476999996 3285054.2984, 370214.6820999999 3285061.7147, 370223.5077 3285055.3311))"
38,32.89,"POLYGON ((370141.4444000004 3284970.2367, 370141.1375000002 3284966.4343, 370136.9922000002 3284966.7711, 370137.3167000003 3284970.572000001, 370141.4444000004 3284970.2367))"
39,34.21,"POLYGON ((370110.8219999997 3285005.789799999, 370114.0076000001 3285018.9999, 370121.6804 3285017.182600001, 370118.5218000002 3285003.836100001, 370110.8219999997 3285005.789799999))"
40,34.21,"POLYGON ((370110.8219999997 3285005.789799999, 370118.5218000002 3285003.836100001, 370117.4151999997 3284999.299000001, 370120.6144000003 3284998.517100001, 370120.0313999997 3284996.0491, 370116.0548 3284997.053300001, 370115.4327999996 3284994.692500001, 370108.5593999997 3284996.407600001, 370110.8219999997 3285005.789799999))"
41,34.96,"POLYGON ((370229.6336000003 3284987.334799999, 370229.4500000002 3284984.226299999, 370220.3543999996 3284985.061899999, 370220.6699000001 3284988.158399999, 370229.6336000003 3284987.334799999))"
42,34.96,"POLYGON ((370229.4500000002 3284984.226299999, 370229.2670999998 3284981.1314, 370220.0288000004 3284982.3486, 370220.3362999996 3284985.0636, 370220.3543999996 3284985.061899999, 370229.4500000002 3284984.226299999))"
43,35.19,"POLYGON ((370217.1381999999 3284988.482799999, 370220.6699000001 3284988.158399999, 370220.3543999996 3284985.061899999, 370216.7559000002 3284985.3925, 370217.1381999999 3284988.482799999))"
44,35.18,"POLYGON ((370216.7559000002 3284985.3925, 370220.3362999996 3284985.0636, 370220.0288000004 3284982.3486, 370216.4379000003 3284982.821699999, 370216.7559000002 3284985.3925))"
45,32.53,"POLYGON ((370209.8848000001 3285056.313300001, 370207.1314000003 3285058.196599999, 370208.3243000004 3285060.021400001, 370211.0769999996 3285058.138499999, 370209.8848000001 3285056.313300001))"
46,35.41,"POLYGON ((370150.5464000003 3284966.0813, 370150.7538999999 3284968.8387, 370153.5738000004 3284968.560699999, 370153.4073000001 3284965.878, 370150.5464000003 3284966.0813))"
47,35.19,"POLYGON ((370150.7538999999 3284968.8387, 370150.8241999997 3284969.7729, 370154.5513000004 3284969.7906, 370154.1341000004 3284957.244100001, 370149.8819000004 3284957.249500001, 370150.5464000003 3284966.0813, 370153.4073000001 3284965.878, 370153.5738000004 3284968.560699999, 370150.7538999999 3284968.8387))"
48,31.9,"POLYGON ((370146.1317999996 3284973.9539, 370145.8871999998 3284969.2278, 370141.9041999998 3284969.5912, 370142.0379999997 3284974.160499999, 370146.1317999996 3284973.9539))"
49,32.56,"POLYGON ((370149.8819000004 3284957.249500001, 370144.8480000002 3284957.255899999, 370145.5586000001 3284967.621400001, 370145.0042000003 3284967.696900001, 370145.1153999995 3284969.2982, 370145.8871999998 3284969.2278, 370146.4058999997 3284979.2513, 370153.2076000003 3284978.9081, 370152.8601000002 3284969.782600001, 370150.8241999997 3284969.7729, 370149.8819000004 3284957.249500001))"
50,32.55,"POLYGON ((370146.4058999997 3284979.2513, 370146.1317999996 3284973.9539, 370142.0379999997 3284974.160499999, 370142.2029999997 3284979.458000001, 370146.4058999997 3284979.2513))"
51,32.24,"POLYGON ((370173.2668000003 3284965.7257, 370172.5964000002 3284965.734300001, 370172.6120999996 3284956.5845, 370169.1491 3284956.6631, 370169.1723999996 3284958.360200001, 370165.2445999999 3284958.486500001, 370165.2448000005 3284958.5372, 370165.2813999997 3284975.2491, 370169.2747 3284975.075200001, 370169.1995000001 3284969.6842, 370173.1781000001 3284969.5603, 370173.2668000003 3284965.7257))"
52,37.94,"POLYGON ((370171.8448000001 3285090.0766, 370169.1727 3285089.8653, 370169.4598000003 3285085.332599999, 370172.1426999997 3285085.5481, 370172.4458999997 3285080.936899999, 370164.4981000004 3285080.337099999, 370163.6410999997 3285091.4221, 370171.7154999999 3285092.0426, 370171.8448000001 3285090.0766))"
53,39.2,"POLYGON ((370172.3228000002 3285082.810000001, 370179.0877 3285083.718900001, 370179.2651000004 3285081.466700001, 370172.4458999997 3285080.936899999, 370172.3228000002 3285082.810000001))"
54,36.77,"POLYGON ((370178.9771999996 3285085.122, 370178.3916999996 3285092.555600001, 370185.1363000004 3285093.073899999, 370185.6993000004 3285085.624299999, 370178.9771999996 3285085.122))"
55,23.59,"POLYGON ((370185.9689999996 3285082.055199999, 370182.9800000004 3285081.7928, 370179.2651000004 3285081.466700001, 370179.0877 3285083.718900001, 370178.9771999996 3285085.122, 370185.6993000004 3285085.624299999, 370185.9689999996 3285082.055199999))"
56,36.77,"POLYGON ((370178.9771999996 3285085.122, 370179.0877 3285083.718900001, 370172.3228000002 3285082.810000001, 370171.7154999999 3285092.0426, 370178.3916999996 3285092.555600001, 370178.9771999996 3285085.122))"
57,37.14,"POLYGON ((370183.8925999999 3285108.7224, 370184.1069 3285106.0902, 370180.4001000002 3285105.8718, 370180.2182999998 3285108.466700001, 370183.8925999999 3285108.7224))"
58,32.66,"POLYGON ((370215.2476000004 3285075.576300001, 370210.7298999997 3285070.3146, 370201.0525000002 3285078.696900001, 370205.6586999996 3285084.0528, 370215.2476000004 3285075.576300001))"
59,29.88,"POLYGON ((370264.2375999996 3285122.928200001, 370267.9391999999 3285118.255799999, 370261.9340000004 3285114.0677, 370265.3437000001 3285109.4504, 370271.2095999997 3285114.216700001, 370274.7575000003 3285109.783600001, 370267.1549000004 3285103.551999999, 370264.9884000001 3285106.2741, 370266.6727999998 3285107.694599999, 370265.5290999999 3285109.0668, 370263.6958999997 3285111.2665, 370261.2123999996 3285109.229699999, 370254.0935000004 3285117.0879, 370264.2375999996 3285122.928200001))"
60,29.82,"POLYGON ((370270.4974999996 3285115.1064, 370268.4522000002 3285117.860099999, 370273.3339 3285121.886399999, 370276.0036000004 3285118.481699999, 370271.0384 3285114.430600001, 370270.4974999996 3285115.1064))"
61,31.95,"POLYGON ((370266.8316000002 3285125.2579, 370267.2960999999 3285124.688999999, 370269.6481999997 3285126.5868, 370273.3339 3285121.886399999, 370268.4522000002 3285117.860099999, 370264.3959999997 3285123.3281, 370266.8316000002 3285125.2579))"
62,26.88,"POLYGON ((370274.4197000004 3285110.205700001, 370271.2095999997 3285114.216700001, 370271.0384 3285114.430600001, 370276.0036000004 3285118.481699999, 370279.3848000001 3285114.169600001, 370274.4197000004 3285110.205700001))"
63,26.96,"POLYGON ((370282.0223000003 3285100.3279, 370287.1595999999 3285095.0394, 370283.9287 3285091.535499999, 370278.2186000003 3285097.612500001, 370281.6902999999 3285100.6697, 370282.0223000003 3285100.3279))"
64,28.7,"POLYGON ((370275.8543999996 3285106.6774, 370278.3393000001 3285104.1193, 370274.8835000005 3285101.161900001, 370272.3710000003 3285103.8358, 370275.8543999996 3285106.6774))"
65,35.13,"POLYGON ((370278.2186000003 3285097.612500001, 370274.8835000005 3285101.161900001, 370278.3393000001 3285104.1193, 370281.6902999999 3285100.6697, 370278.2186000003 3285097.612500001))"
66,33.98,"POLYGON ((370133.0686999997 3285091.717599999, 370131.2550999997 3285091.5143, 370130.7892000005 3285096.001700001, 370130.9612999996 3285096.021, 370144.5346999997 3285097.546599999, 370144.9963999996 3285093.0546, 370133.0686999997 3285091.717599999))"
67,23.65,"POLYGON ((370128.9478000002 3285114.2608, 370128.4735000003 3285118.745999999, 370142.2078999998 3285120.181299999, 370142.6430000002 3285115.9483, 370128.9478000002 3285114.2608))"
68,33.85,"POLYGON ((370130.7892000005 3285096.001700001, 370131.2550999997 3285091.5143, 370130.2397999996 3285091.4004, 370129.7686000001 3285095.887, 370130.7892000005 3285096.001700001))"
69,35.62,"POLYGON ((370128.0579000004 3285133.152000001, 370126.9944000002 3285142.396400001, 370136.1544000003 3285143.3802, 370137.0618000003 3285135.1304, 370132.7056999998 3285134.6305, 370132.8039999995 3285133.5987, 370128.0579000004 3285133.152000001))"
70,35.49,"POLYGON ((370096.5033999998 3285139.0869, 370105.801 3285140.0033, 370107.0894999998 3285127.8639, 370102.1834000004 3285127.333799999, 370101.9499000004 3285130.2085, 370097.4946999997 3285129.715500001, 370096.5033999998 3285139.0869))"
71,37.04,"POLYGON ((370128.4013999999 3285130.1667, 370128.0579000004 3285133.152000001, 370132.8039999995 3285133.5987, 370132.7056999998 3285134.6305, 370137.0618000003 3285135.1304, 370137.4995999997 3285131.149800001, 370128.4013999999 3285130.1667))"
72,23.65,"POLYGON ((370128.9478000002 3285114.2608, 370127.8534000004 3285114.126, 370127.3803000003 3285118.6317, 370128.4735000003 3285118.745999999, 370128.9478000002 3285114.2608))"
73,32.23,"POLYGON ((370251.6579999998 3285129.9947, 370245.1502999999 3285129.304400001, 370244.3761 3285129.2223, 370243.6403000001 3285134.480799999, 370250.9676000001 3285135.4746, 370251.6579999998 3285129.9947))"
74,25.31,"POLYGON ((370059.5305000003 3284986.1127, 370060.2614000002 3284993.4268, 370059.3960999995 3284993.5349, 370060.9002 3285003.671399999, 370067.3071999997 3285002.050799999, 370064.6442 3284985.3892, 370064.6205000002 3284985.240700001, 370059.5305000003 3284986.1127))"
75,30.68,"POLYGON ((370374.8561000004 3284801.805199999, 370370.3183000004 3284801.624600001, 370370.3004000001 3284804.9494, 370374.7620999999 3284805.1456, 370374.8561000004 3284801.805199999))"
76,30.99,"POLYGON ((370195.4714000002 3285117.4673, 370194.1447999999 3285130.4745, 370189.5990000004 3285130.0109, 370189.7204999998 3285128.7224, 370153.9885999998 3285125.0348, 370153.7408999996 3285127.2859, 370195.3927999996 3285131.627499999, 370196.9018000001 3285117.5963, 370195.4714000002 3285117.4673))"
77,24.99,"POLYGON ((370368.1836999999 3284758.403100001, 370372.3285999997 3284758.5802, 370372.443 3284756.239600001, 370368.2928999998 3284756.0953, 370368.1836999999 3284758.403100001))"
78,20.82,"POLYGON ((370079.8964 3284906.927300001, 370078.3267999999 3284907.4856, 370078.9736000001 3284909.0296, 370080.4566000002 3284908.5021, 370079.8964 3284906.927300001))"
79,25.7,"POLYGON ((369831.2845999999 3284963.1187, 369832.0072999997 3284959.426000001, 369826.5670999996 3284958.3572, 369825.8409000002 3284962.024499999, 369831.2845999999 3284963.1187))"
80,30.93,"POLYGON ((370292.7726999996 3285131.7327, 370294.8498 3285128.093800001, 370294.4872000003 3285127.8411, 370287.2145999996 3285123.847899999, 370284.6684999997 3285127.205800001, 370292.7726999996 3285131.7327))"
81,34.23,"POLYGON ((370400.4858999997 3284750.17, 370400.4241000004 3284751.245100001, 370404.3768999996 3284751.4618, 370404.4533000002 3284750.3192, 370400.4858999997 3284750.17))"
82,34.0,"POLYGON ((370408.4703000002 3284750.4703, 370404.4533000002 3284750.3192, 370404.3768999996 3284751.4618, 370408.4034000002 3284751.682600001, 370408.4703000002 3284750.4703))"
83,25.55,"POLYGON ((369896.2674000002 3284881.719599999, 369895.2569000004 3284887.0984, 369900.0828 3284887.7598, 369900.7538999999 3284882.246200001, 369896.2674000002 3284881.719599999))"
