,height,geometry,木,涂料,红砖,金属,面砖,玻璃,青砖
24,34.79493,"POLYGON ((370393.6747327019 3284742.919524236, 370389.247574091 3284742.719580792, 370388.8800391713 3284750.897325119, 370393.2944866018 3284751.213870795, 370393.6747327019 3284742.919524236))",0,0,0,0,1,0,0
25,25.20299,"POLYGON ((370396.5839165719 3284749.291893903, 370397.2950475868 3284736.508003391, 370393.9772312259 3284736.321093438, 370393.6747327019 3284742.919524236, 370393.3906249227 3284749.116795922, 370396.5839165719 3284749.291893903))",0,0,1,0,0,0,0
26,37.25376,"POLYGON ((370400.9596604267 3284741.930972036, 370401.2586485613 3284736.731293777, 370397.2950475868 3284736.508003391, 370396.8121378943 3284745.189195042, 370400.7596817128 3284745.408785539, 370400.9596604267 3284741.930972036))",0,0,1,0,0,0,0
27,34.44435,"POLYGON ((370396.4872747166 3284751.029209338, 370400.4240875151 3284751.245076871, 370400.7596817128 3284745.408785539, 370396.8121378943 3284745.189195042, 370396.5839165719 3284749.291893903, 370396.4872747166 3284751.029209338))",0,1,0,0,0,0,0
28,37.86799,"POLYGON ((370419.8105015615 3284752.308093462, 370420.2115581548 3284746.205103431, 370416.332176473 3284746.114111604, 370416.0072374037 3284752.099548811, 370419.8105015615 3284752.308093462))",0,1,0,0,0,0,0
29,39.31503,"POLYGON ((370416.8571456606 3284736.444083026, 370416.516915095 3284742.711192356, 370416.332176473 3284746.114111604, 370420.2115581548 3284746.205103431, 370419.8105015615 3284752.308093462, 370423.800397004 3284752.526871676, 370423.4750772174 3284757.638079517, 370433.5233243043 3284758.277633555, 370433.5498439074 3284757.710663745, 370434.5757366382 3284757.769444916, 370435.1630473034 3284746.934655115, 370434.2730391957 3284742.171196464, 370426.9624334984 3284737.56861393, 370424.9451816836 3284736.977442382, 370424.9369969713 3284736.803820178, 370416.8571456606 3284736.444083026))",0,0,0,0,1,0,0
30,36.04362,"POLYGON ((370400.4240875151 3284751.245076871, 370400.1328621563 3284756.556203203, 370404.0856680572 3284756.772947684, 370404.376893417 3284751.461821347, 370400.4240875151 3284751.245076871))",0,0,1,0,0,0,0
31,24.00299,"POLYGON ((370404.0920836339 3284756.655945728, 370408.059405325 3284756.926142184, 370408.4034144329 3284751.682607858, 370404.376893417 3284751.461821347, 370404.0920836339 3284756.655945728))",0,0,1,0,0,0,0
32,34.41632,"POLYGON ((370281.6279187845 3284859.145319041, 370276.1345591955 3284859.575912666, 370276.3709601145 3284862.408760177, 370281.924942255 3284861.908081474, 370281.6279187845 3284859.145319041))",0,1,0,0,0,0,0
33,24.10467,"POLYGON ((370390.8279637918 3284755.929262791, 370388.6587606249 3284755.820828399, 370388.498151171 3284759.39442909, 370390.7484789044 3284759.509524262, 370390.8279637918 3284755.929262791))",0,1,0,0,0,0,0
34,29.93631,"POLYGON ((370281.924942255 3284861.908081474, 370284.0076795835 3284861.7203275, 370289.6696298458 3284861.421336411, 370289.0379622718 3284856.42756252, 370286.7846410144 3284856.605716396, 370286.6250391938 3284855.243565429, 370281.254095898 3284855.668207217, 370281.924942255 3284861.908081474))",0,1,0,0,0,0,0
35,23.32651,"POLYGON ((370119.4727015104 3284993.684380593, 370115.4328429727 3284994.69247427, 370116.0547969639 3284997.053266007, 370120.0313693564 3284996.049120925, 370119.4727015104 3284993.684380593))",0,1,0,0,0,0,0
36,37.00384,"POLYGON ((370118.5218321765 3285003.836134654, 370120.6116249105 3285012.666574689, 370122.1879113363 3285012.306436403, 370122.6721324809 3285014.222380755, 370121.0694262246 3285014.601018714, 370121.6803731387 3285017.182580987, 370124.8469417486 3285016.432571201, 370121.6816369891 3285003.034406478, 370118.5218321765 3285003.836134654))",0,1,0,0,0,0,0
37,28.75933,"POLYGON ((370223.507726064 3285055.331077529, 370218.682236053 3285048.222465061, 370215.8542175256 3285050.124368438, 370216.7472017854 3285051.439857438, 370213.4894436495 3285053.651298758, 370212.5868917955 3285052.321715368, 370209.6477477914 3285054.298353018, 370214.6821176913 3285061.714674376, 370223.507726064 3285055.331077529))",0,1,0,0,0,0,0
