,distance,height,功能,材质,结构,产权,风貌,geometry,Peri,Area,uID
0,1144,24.38,居住,涂料,混,私,混合风貌,"POLYGON ((370038.5471257251 3284789.048300253, 370038.1677246131 3284784.010486303, 370024.1104385005 3284784.435659118, 370024.0940392148 3284785.395164389, 370024.0206044838 3284789.691754295, 370038.4248751476 3284789.053715361, 370038.5471257251 3284789.048300253))",38.9134227087,73.6371386681,1144
1,549,27.69,居住,面砖,混,缺,现代风貌,"POLYGON ((369485.0801478699 3284982.940563586, 369484.9317634413 3284979.659908526, 369484.748085795 3284975.598950211, 369484.7127317581 3284974.817302084, 369484.185829686 3284974.418043248, 369480.6552254884 3284974.648178089, 369480.3169969665 3284975.064555496, 369476.4779209904 3284975.280497694, 369476.097275679 3284974.920551548, 369470.5900943913 3284975.232551258, 369470.1693414813 3284975.596269188, 369466.5161714172 3284975.762102688, 369466.4984911624 3284975.372621836, 369458.7046946296 3284975.887097456, 369457.6864354005 3284975.954313677, 369457.969787755 3284981.72664503, 369458.9122838657 3284981.677502166, 369459.0103436243 3284984.412738765, 369466.8886662889 3284983.967845852, 369476.8747669132 3284983.388961181, 369485.0801478699 3284982.940563586))",71.7578589298,225.095241987,549
2,1679,21.46,居住,涂料,混,缺,历史风貌,"POLYGON ((369545.2741868757 3284763.260799592, 369547.9363542534 3284756.086943796, 369550.2884776648 3284757.017653953, 369551.4011913687 3284754.000941813, 369545.5888414895 3284751.744509663, 369544.4401144125 3284754.703518962, 369541.7011794224 3284761.79211536, 369545.2741868757 3284763.260799592))",34.2683935891,49.0616437509,1679
3,1012,21.42,居住,涂料,混,公,现代风貌,"POLYGON ((369449.5300388895 3285011.390685301, 369447.5280175814 3285028.66324391, 369454.3559724968 3285029.431636389, 369455.007598741 3285024.547645167, 369454.7944750953 3285024.520292494, 369456.124998495 3285012.132857366, 369449.5300388895 3285011.390685301))",48.4966668759,117.414121193,1012
